domain_normalized,registered_domain,subdomain,observation_count,profile_observation_count,participation_observation_count,distinct_raw_buyer_names,distinct_profile_buyer_names,distinct_current_m1_buyer_keys,distinct_validated_sirens_after_m1_name_join,distinct_sirets_after_m1_name_join,distinct_departments_after_m1_name_join,first_observation_date,last_observation_date,dominant_buyer_normalized,dominant_buyer_count,dominant_buyer_share,buyer_entropy,malformed_observation_count,domain_specificity
meoss.achatpublic.com,achatpublic.com,meoss,299,200,99,77,76,7,3,3,4,2015-03-24,2020-12-24,gie sesam vitale,126,0.4214046822742475,3.5537299118959336,0,GENERIC_PLATFORM
demat-ampa.fr,demat-ampa.fr,,292,242,50,200,193,2,1,1,1,2016-01-28,2020-12-23,centre communal d action sociale,8,0.0273972602739726,7.416148521214831,0,GENERIC_PLATFORM
megalisbretagne.org,megalisbretagne.org,,277,233,44,187,182,18,8,4,19,2015-03-05,2020-12-20,region bretagne,8,0.02888086642599278,7.337357147904924,0,GENERIC_PLATFORM
sarthe-marchespublics.fr,sarthe-marchespublics.fr,,277,256,21,29,28,13,4,3,4,2015-07-07,2020-12-20,departement de la sarthe,148,0.5342960288808665,2.557628167665132,0,AMBIGUOUS
alm.marches-securises.fr,marches-securises.fr,alm,250,179,71,12,12,17,5,6,5,2016-02-04,2020-12-10,angers loire metropole,207,0.828,1.134283833722838,0,GENERIC_PLATFORM
marchespublics.nantesmetropole,marchespublics.nantesmetropole,,249,249,0,2,2,8,4,5,1,2019-02-21,2019-02-21,nantes metropole,222,0.891566265060241,0.4951734787020682,0,HIGHLY_CONCENTRATED
marchesoublics.nantesmetropole.fr,nantesmetropole.fr,marchesoublics,222,222,0,1,1,6,3,4,1,2017-05-05,2017-05-05,nantes metropole,222,1.0,-0.0,0,BUYER_SPECIFIC
nantesmetropole.fr,nantesmetropole.fr,,222,222,0,1,1,6,3,4,1,2018-06-06,2018-06-06,nantes metropole,222,1.0,-0.0,0,BUYER_SPECIFIC
synapse-entreprises.com,synapse-entreprises.com,,210,176,34,158,158,1,0,0,1,2015-03-10,2020-11-19,ville de saumur,12,0.05714285714285714,7.102201112842404,0,GENERIC_PLATFORM
centraledesmarches.com,centraledesmarches.com,,209,199,10,174,172,13,8,6,7,2015-03-10,2019-12-22,communaute de communes des coevrons,6,0.028708133971291867,7.253321557968056,0,GENERIC_PLATFORM
marchespublics596280.fr,marchespublics596280.fr,,208,166,42,147,147,4,3,1,4,2017-05-24,2020-12-31,ca de bethune bruay artois lys romane,4,0.019230769230769232,7.053664117117146,0,GENERIC_PLATFORM
achats-hopitaux.com,achats-hopitaux.com,,204,201,3,74,69,7,3,3,4,2015-03-17,2019-12-08,chu de nantes,73,0.35784313725490197,4.006663843158794,0,GENERIC_PLATFORM
marchesonline.achatpublic.com,achatpublic.com,marchesonline,168,165,3,162,161,4,1,1,5,2017-03-17,2020-12-17,centre communal d action sociale,4,0.023809523809523808,7.297079327540663,0,GENERIC_PLATFORM
mp74.fr,mp74.fr,,160,142,18,139,139,2,2,0,3,2015-03-17,2020-12-31,commune du grand-bornand,3,0.01875,7.0499920011103185,0,GENERIC_PLATFORM
alsacemarchespublics.eu,alsacemarchespublics.eu,,159,127,32,92,89,1,0,0,1,2015-03-23,2020-12-18,communaute de communes de selestat,5,0.031446540880503145,6.290848405196193,0,GENERIC_PLATFORM
maximilien.fr,maximilien.fr,,158,149,9,117,114,0,0,0,0,2015-03-18,2020-12-31,ville de paris,5,0.03164556962025317,6.6747675963717,0,GENERIC_PLATFORM
marchespublics.ledauphine-legales.com,ledauphine-legales.com,marchespublics,152,113,39,112,112,0,0,0,0,2015-04-03,2020-09-25,com de communes port de dromardeche,3,0.019736842105263157,6.716645358824091,0,GENERIC_PLATFORM
e-bourgogne.fr,e-bourgogne.fr,,151,130,21,112,108,0,0,0,0,2015-03-10,2020-09-06,commune du creusot,4,0.026490066225165563,6.605889673071255,0,GENERIC_PLATFORM
marches.e-megalisbretagne.org,e-megalisbretagne.org,marches,147,126,21,96,91,12,5,4,12,2015-03-04,2020-12-23,concarneau cornouaille agglomeration,8,0.05442176870748299,6.247025405943114,0,GENERIC_PLATFORM
anjoumarchespublics.fr,anjoumarchespublics.fr,,146,140,6,26,26,20,7,5,9,2015-04-13,2020-12-23,departement de maine-et-loire,68,0.4657534246575342,3.1037302478112085,0,GENERIC_PLATFORM
synapse-ouest.com,synapse-ouest.com,,144,113,31,45,44,19,9,7,4,2015-03-17,2020-10-14,sm megalis,21,0.14583333333333334,4.537841040906153,0,GENERIC_PLATFORM
marches.e-bourgogne.fr,e-bourgogne.fr,marches,139,108,31,99,96,2,1,1,1,2015-04-02,2020-03-07,centre communal d action sociale,4,0.02877697841726619,6.449735676977799,0,GENERIC_PLATFORM
pro-marchespublics.com,pro-marchespublics.com,,138,90,48,88,87,2,2,0,3,2015-06-15,2020-12-20,mairie,6,0.043478260869565216,6.323997916876063,0,GENERIC_PLATFORM
marches.loire-atlantique.fr,loire-atlantique.fr,marches,137,121,16,4,4,5,1,1,1,2016-06-29,2020-12-27,conseil departemental loire-atlantique,84,0.6131386861313869,1.1634856337048234,0,SHARED_INSTITUTIONAL
marchespublics.landespublic.org,landespublic.org,marchespublics,135,107,28,85,81,3,1,1,2,2015-06-04,2020-12-24,sitcom cote sud des landes,6,0.044444444444444446,6.123717148899732,0,GENERIC_PLATFORM
marchespublics.gouv.fr,marchespublics.gouv.fr,,133,130,3,51,51,14,6,6,10,2015-04-14,2020-12-15,universite de nantes,56,0.42105263157894735,3.8678952295564235,0,GENERIC_PLATFORM
