source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m0_composite_score,cpv_missing,cpv_generic_flag,score_forward_no_duration,candidate_rank,n_candidates_for_source,top1_top2_margin
15-100455,16-33283,2015-07-01,2016-03-10,NAME:nantes metropole,NAME_FALLBACK,8.31143232588699,,,,0.03309191577279699,0.0,0.6,0.09544289402730528,False,False,0.09544289402730528,25,30,0.009248615559857176
15-100455,15-175210,2015-07-01,2015-11-19,NAME:nantes metropole,NAME_FALLBACK,4.6320630749014455,,,,0.030729226041896596,0.0,0.6,0.09434030548621843,False,False,0.09434030548621843,26,30,0.009248615559857176
15-100455,15-178791,2015-07-01,2015-11-30,NAME:nantes metropole,NAME_FALLBACK,4.993429697766097,,,,0.02452474929728058,0.0,0.6,0.09144488300539762,False,False,0.09144488300539762,27,30,0.009248615559857176
15-100455,17-13461,2015-07-01,2017-01-29,NAME:nantes metropole,NAME_FALLBACK,18.988173455978973,,,,0.019377490574511498,0.0,0.6,0.08904282893477206,False,False,0.08904282893477206,28,30,0.009248615559857176
15-100455,16-73215,2015-07-01,2016-05-23,NAME:nantes metropole,NAME_FALLBACK,10.74244415243101,,,,0.006696783415503473,0.0,0.6,0.08312516559390164,False,False,0.08312516559390164,29,30,0.009248615559857176
15-100455,16-153330,2015-07-01,2016-10-26,NAME:nantes metropole,NAME_FALLBACK,15.867279894875164,,,,0.003538711484927566,0.0,0.6,0.08165139869296621,False,False,0.08165139869296621,30,30,0.009248615559857176
15-101283,16-102267,2015-07-01,2016-07-09,NAME:caf de la sarthe,NAME_FALLBACK,12.28646517739816,,,,0.3760254187996091,1.0,0.6,0.655478528773151,False,False,0.655478528773151,1,1,0.655478528773151
15-101366,15-107245,2015-07-02,2015-07-10,NAME:le mans metropole - communaute urbaine,NAME_FALLBACK,0.2628120893561104,,,,0.11759479905439135,0.0,0.6,0.13487757289204932,False,False,0.13487757289204932,1,8,0.01622247887097708
15-101366,15-144617,2015-07-02,2015-09-23,NAME:le mans metropole - communaute urbaine,NAME_FALLBACK,2.726675427069645,,,,0.08283234433086906,0.0,0.6,0.11865509402107224,False,False,0.11865509402107224,2,8,0.01622247887097708
15-101366,16-16627,2015-07-02,2016-02-04,NAME:le mans metropole - communaute urbaine,NAME_FALLBACK,7.128777923784494,,,,0.05903101255811695,0.0,0.6,0.10754780586045459,False,False,0.10754780586045459,3,8,0.01622247887097708
15-101366,16-38113,2015-07-02,2016-03-16,NAME:le mans metropole - communaute urbaine,NAME_FALLBACK,8.47568988173456,,,,0.05681412812639247,0.0,0.6,0.1065132597923165,False,False,0.1065132597923165,4,8,0.01622247887097708
15-101366,17-10496,2015-07-02,2017-01-23,NAME:le mans metropole - communaute urbaine,NAME_FALLBACK,18.758212877792378,,,,0.045549813055802246,0.0,0.6,0.10125657942604106,False,False,0.10125657942604106,5,8,0.01622247887097708
15-101366,15-178728,2015-07-02,2015-11-26,NAME:le mans metropole - communaute urbaine,NAME_FALLBACK,4.829172141918528,,,,0.03396188776678931,0.0,0.6,0.09584888095783503,False,False,0.09584888095783503,6,8,0.01622247887097708
15-101366,17-40324,2015-07-02,2017-03-23,NAME:le mans metropole - communaute urbaine,NAME_FALLBACK,20.69645203679369,,,,0.013393027023073087,0.0,0.6,0.08625007927743412,False,False,0.08625007927743412,7,8,0.01622247887097708
15-101366,17-69162,2015-07-02,2017-05-17,NAME:le mans metropole - communaute urbaine,NAME_FALLBACK,22.503285151116952,,,,0.0,0.0,0.6,0.08000000000000002,False,False,0.08000000000000002,8,8,0.01622247887097708
15-102348,16-48016,2015-07-03,2016-03-31,NAME:universite de nantes,NAME_FALLBACK,8.935611038107753,,,,0.2744894114739284,1.0,0.6,0.6080950586878333,False,False,0.6080950586878333,1,18,0.2787861935104072
15-102348,16-6558,2015-07-03,2016-01-15,NAME:universite de nantes,NAME_FALLBACK,6.438896189224704,,,,0.019947568237341673,0.6,0.6,0.32930886517742614,False,False,0.32930886517742614,2,18,0.2787861935104072
15-102348,16-25313,2015-07-03,2016-02-19,NAME:universite de nantes,NAME_FALLBACK,7.588699080157687,,,,0.019275945788040448,0.6,0.6,0.3289954413677522,False,False,0.3289954413677522,3,18,0.2787861935104072
15-102348,16-106204,2015-07-03,2016-07-15,NAME:universite de nantes,NAME_FALLBACK,12.417871222076215,,,,0.24300281264896512,0.2,0.6,0.2734013125695171,False,False,0.2734013125695171,4,18,0.2787861935104072
15-102348,16-132618,2015-07-03,2016-09-09,NAME:universite de nantes,NAME_FALLBACK,14.257555847568987,,,,0.1351506268591701,0.1,0.6,0.18307029253427942,True,False,0.18307029253427942,5,18,0.2787861935104072
15-102348,16-68218,2015-07-03,2016-05-14,NAME:universite de nantes,NAME_FALLBACK,10.38107752956636,,,,0.1712816035588323,0.0,0.6,0.15993141499412178,False,False,0.15993141499412178,6,18,0.2787861935104072
15-102348,16-62960,2015-07-03,2016-05-02,NAME:universite de nantes,NAME_FALLBACK,9.986859395532194,,,,0.15851350922545815,0.0,0.6,0.1539729709718805,False,True,0.1539729709718805,7,18,0.2787861935104072
15-102348,16-5452,2015-07-03,2016-01-13,NAME:universite de nantes,NAME_FALLBACK,6.3731931668856765,,,,0.06431781766129274,0.0,0.6,0.11001498157526997,False,False,0.11001498157526997,8,18,0.2787861935104072
15-102348,16-40880,2015-07-03,2016-03-22,NAME:universite de nantes,NAME_FALLBACK,8.639947437582128,,,,0.046890048291472336,0.0,0.6,0.10188202253602044,False,False,0.10188202253602044,9,18,0.2787861935104072
15-102348,16-58728,2015-07-03,2016-04-22,NAME:universite de nantes,NAME_FALLBACK,9.658344283837057,,,,0.04572195984764918,0.0,0.6,0.10133691459556964,False,False,0.10133691459556964,10,18,0.2787861935104072
15-102348,15-173090,2015-07-03,2015-11-16,NAME:universite de nantes,NAME_FALLBACK,4.467805519053877,,,,0.043675967933873155,0.0,0.6,0.10038211836914082,False,False,0.10038211836914082,11,18,0.2787861935104072
15-102348,16-180522,2015-07-03,2016-12-18,NAME:universite de nantes,NAME_FALLBACK,17.542706964520367,,,,0.016324494445217108,0.0,0.6,0.087618097407768,False,True,0.087618097407768,12,18,0.2787861935104072
15-102348,17-60124,2015-07-03,2017-04-28,NAME:universite de nantes,NAME_FALLBACK,21.846254927726676,,,,0.014706209749567205,0.0,0.6,0.08686289788313138,False,True,0.08686289788313138,13,18,0.2787861935104072
15-102348,15-174358,2015-07-03,2015-11-17,NAME:universite de nantes,NAME_FALLBACK,4.50065703022339,,,,0.01356637203199502,0.0,0.6,0.08633097361493103,False,False,0.08633097361493103,14,18,0.2787861935104072
15-102348,17-91590,2015-07-03,2017-06-28,NAME:universite de nantes,NAME_FALLBACK,23.850197109067015,,,,0.007990259631811993,0.0,0.6,0.08372878782817894,False,True,0.08372878782817894,15,18,0.2787861935104072
15-102348,17-15387,2015-07-03,2017-02-01,NAME:universite de nantes,NAME_FALLBACK,19.021024967148488,,,,0.006680052095972345,0.0,0.6,0.08311735764478712,False,False,0.08311735764478712,16,18,0.2787861935104072
