source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m0_composite_score,cpv_missing,cpv_generic_flag,candidate_rank,n_candidates_for_source,top1_top2_margin,variant,threshold_used
15-160513,16-61061,2015-10-20,2016-04-29,NAME:departement de la sarthe,NAME_FALLBACK,6.307490144546649,2016-04-20,0.2956636005256242,0.9507227332457293,0.05604580545588896,0.1,0.6,0.3472967152209935,True,False,1,8,0.05376807954908919,window_6m,0.3230216936565234
15-160539,16-57014,2015-10-28,2016-04-20,NAME:nantes metropole,NAME_FALLBACK,5.7490144546649145,2016-04-28,0.2628120893561104,0.9561979851073149,0.15709253634284487,0.1,0.6,0.3840318839968244,True,False,1,23,0.011970166188417897,window_6m,0.3230216936565234
15-162447,16-49246,2015-10-23,2016-04-12,NAME:nantes metropole,NAME_FALLBACK,5.650459921156373,2016-04-23,0.36136662286465177,0.939772229522558,0.23430704681594774,0.1,0.6,0.4069505237662212,True,False,1,22,0.026426453732799227,window_6m,0.3230216936565234
15-162906,16-68875,2015-10-23,2016-05-12,NAME:centre hospitalier de cholet,NAME_FALLBACK,6.636005256241787,2016-04-23,0.6241787122207622,0.8959702146298729,0.14569071428194175,0.1,0.6,0.3649843036561478,True,False,1,2,0.07500317012099789,window_6m,0.3230216936565234
15-164088,19-185562,2015-10-28,2019-12-12,NAME:commune de saint-herblain,NAME_FALLBACK,49.47437582128778,2019-10-28,1.4783180026281209,0.7536136662286466,0.24586100993274873,0.0,0.6,0.33445477003362367,False,False,1,2,0.1319632045473316,window_6m,0.3230216936565234
15-164187,19-169855,2015-10-28,2019-11-12,NAME:gie sesam vitale,NAME_FALLBACK,48.48883048620236,2019-10-28,0.49277266754270693,0.9178712220762155,0.35615586347667283,0.2,0.6,0.47412235773588934,False,False,1,5,0.07952485498331602,window_6m,0.3230216936565234
15-165050,19-136955,2015-10-29,2019-09-10,NAME:angers loire metropole,NAME_FALLBACK,46.38633377135348,2019-10-29,1.609724047306176,0.731712658782304,0.8644788775438546,1.0,0.6,0.8454957718359251,False,False,1,7,0.4883112637770684,window_6m,0.3230216936565234
15-173090,20-31844,2015-11-16,2020-03-04,NAME:universite de nantes,NAME_FALLBACK,51.57687253613666,2020-01-28,1.1826544021024967,0.8028909329829172,0.0,0.4,0.6,0.3807227332457293,False,False,1,4,0.07914761455857039,window_6m,0.3230216936565234
15-174358,20-31844,2015-11-17,2020-03-04,NAME:universite de nantes,NAME_FALLBACK,51.544021024967144,2020-01-28,1.1826544021024967,0.8028909329829172,0.0,0.4,0.6,0.3807227332457293,False,False,1,4,0.08736362279944815,window_6m,0.3230216936565234
15-174987,19-136955,2015-11-18,2019-09-10,NAME:angers loire metropole,NAME_FALLBACK,45.729303547963205,2019-11-18,2.266754270696452,0.6222076215505914,0.8404844620896664,1.0,0.6,0.8097214671190311,False,False,1,8,0.4525611799316918,window_6m,0.3230216936565234
15-175210,20-32203,2015-11-19,2020-03-06,NAME:nantes metropole,NAME_FALLBACK,51.544021024967144,2020-03-04,0.0657030223390276,0.9890494962768287,0.01565917335860012,0.2,0.6,0.37274308474471723,False,False,1,24,0.002660839773878043,window_6m,0.3230216936565234
15-175415,16-73319,2015-11-20,2016-05-24,NAME:commune de saint-nazaire,NAME_FALLBACK,6.110381077529566,2016-05-20,0.1314060446780552,0.9780989925536575,0.524444297632995,0.1,0.6,0.5180802523099626,True,False,1,5,0.1183824609405622,window_6m,0.3230216936565234
15-175690,20-6485,2015-11-20,2020-01-19,NAME:cnieg,NAME_FALLBACK,49.96714848883048,2020-03-09,1.6425755584756898,0.7262374069207184,0.13415386852312555,0.2,0.6,0.34851320571327354,False,False,1,3,0.0519471399288472,window_6m,0.3230216936565234
