source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key_m0_source,buyer_key_m0_candidate,buyer_key_type_source,buyer_key_type_candidate,buyer_match_mechanism,source_buyer_identity_source_x,candidate_buyer_identity_source_x,source_buyer_siret,candidate_buyer_siret,source_buyer_siren_m1_x,candidate_buyer_siren_m1_x,cross_establishment_same_siren,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m1_composite_score,m0_balanced_threshold_used,cpv_missing,cpv_generic_flag,profile_evidence_status,profile_evidence_reason,source_profile_domains,candidate_profile_domains,shared_profile_domains,source_domain_specificity,candidate_domain_specificity,profile_conflict_flag,candidate_rank,n_candidates_for_source,top1_top2_margin
15-100455,20-12070,2015-07-01,2020-01-26,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,54.862023653088045,2019-12-17,1.314060446780552,0.7809899255365746,0.0045218107261035,0.0,0.6,0.2568301151382799,0.3230216936565233,False,False,STRONG_SUPPORT,source and candidate names share a buyer-specific or highly concentrated domain,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,False,11,22,0.23567176494728936
15-100455,20-37940,2015-07-01,2020-03-14,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,56.43889618922471,2019-12-17,2.890932982917214,0.5181778361804643,0.1253039277705031,0.0,0.6,0.2334008337647921,0.3230216936565233,False,False,STRONG_SUPPORT,source and candidate names share a buyer-specific or highly concentrated domain,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,False,12,22,0.23567176494728936
15-100455,20-26328,2015-07-01,2020-02-21,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,55.7161629434954,2019-12-17,2.1681997371879107,0.6386333771353483,0.0249084899409461,0.0,0.6,0.2283763157631682,0.3230216936565233,False,False,STRONG_SUPPORT,source and candidate names share a buyer-specific or highly concentrated domain,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,False,13,22,0.23567176494728936
15-100455,20-32203,2015-07-01,2020-03-06,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,56.1760840998686,2019-12-17,2.628120893561104,0.5619798510731493,0.0167413834057507,0.0,0.6,0.2063544469603,0.3230216936565233,False,False,STRONG_SUPPORT,source and candidate names share a buyer-specific or highly concentrated domain,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,False,14,22,0.23567176494728936
15-100455,20-34392,2015-07-01,2020-03-11,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,56.340341655716166,2019-12-17,2.7923784494086727,0.5346035917652212,0.011739648344161,0.0,0.6,0.1977597748617616,0.3230216936565233,False,False,STRONG_SUPPORT,source and candidate names share a buyer-specific or highly concentrated domain,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,False,15,22,0.23567176494728936
15-100455,19-123920,2015-07-01,2019-08-09,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,49.2772667542707,2019-12-17,4.270696452036794,0.2882172579938676,0.0694561774315649,0.1,0.6,0.1863639765995146,0.3230216936565233,True,False,STRONG_SUPPORT,source and candidate names share a buyer-specific or highly concentrated domain,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,False,16,22,0.23567176494728936
15-100455,19-119269,2015-07-01,2019-08-02,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,49.0473061760841,2019-12-17,4.50065703022339,0.2498904949627682,0.1134553797698694,0.0,0.6,0.1621820066601463,0.3230216936565233,False,False,STRONG_SUPPORT,source and candidate names share a buyer-specific or highly concentrated domain,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,False,17,22,0.23567176494728936
15-100455,20-66643,2015-07-01,2020-05-22,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,58.70565045992116,2019-12-17,5.157687253613666,0.1403854577310556,0.1281848383341702,0.0,0.6,0.1399610578497234,0.3230216936565233,False,False,STRONG_SUPPORT,source and candidate names share a buyer-specific or highly concentrated domain,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,False,18,22,0.23567176494728936
15-100455,20-54283,2015-07-01,2020-04-23,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,57.75295663600526,2019-12-17,4.204993429697766,0.2991677617170389,0.011739648344161,0.0,0.6,0.1389008173497161,0.3230216936565233,False,False,STRONG_SUPPORT,source and candidate names share a buyer-specific or highly concentrated domain,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,False,19,22,0.23567176494728936
15-100455,20-49949,2015-07-01,2020-04-30,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,57.98291721419185,2019-12-17,4.434954007884363,0.2608409986859396,0.0219151338433638,0.0,0.6,0.1328805465166622,0.3230216936565233,False,False,STRONG_SUPPORT,source and candidate names share a buyer-specific or highly concentrated domain,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,False,20,22,0.23567176494728936
