notice_id,buyer_key,buyer_key_type,publication_date,start_date,estimated_end_date,study_end_date,cpv_division,cpv_category,category_label,is_digital_scope,declared_duration_months,dur_was_imputed,event,time_to_event_or_censor_months,linked_candidate_notice_id,m0_composite_score,variant
17-91935,NAME:nantes metropole,NAME_FALLBACK,2017-07-01,2017-07-01,2020-07-01,2026-07-13,32,32323,DIGITAL_ICT,True,36.0,True,1,12.81208935611038,18-103911,0.5743958375121216,forward_24m_no_duration
17-93042,NAME:gie sesam vitale,NAME_FALLBACK,2017-07-02,2017-07-02,2021-07-02,2026-07-13,72,72225,DIGITAL_ICT,True,48.0,True,0,108.34428383705651,,,forward_24m_no_duration
17-94724,NAME:commune de saint-nazaire,NAME_FALLBACK,2017-07-09,2017-10-22,2020-10-22,2026-07-13,32,32342,DIGITAL_ICT,True,36.0,True,1,5.4204993429697765,17-178496,0.38584539277616586,forward_24m_no_duration
17-102923,NAME:conseil regional des pays de la loire,NAME_FALLBACK,2017-07-20,2017-07-20,2021-07-20,2026-07-13,48,48000,DIGITAL_ICT,True,48.0,True,1,2.726675427069645,17-142035,0.9466666666666668,forward_24m_no_duration
17-104235,NAME:gie sesam vitale,NAME_FALLBACK,2017-07-22,2017-07-22,2021-07-22,2026-07-13,48,48900,DIGITAL_ICT,True,48.0,True,0,107.68725361366623,,,forward_24m_no_duration
17-104895,SIRET:26490039000016,RAW_SIRET,2017-07-22,2017-11-07,2021-11-07,2026-07-13,35,35111,DIGITAL_ICT,True,48.0,True,0,107.68725361366623,,,forward_24m_no_duration
17-105440,NAME:conseil departemental loire-atlantique,NAME_FALLBACK,2017-07-23,2018-01-24,2019-01-24,2026-07-13,45,45314,DIGITAL_ICT,True,12.0,True,0,107.65440210249672,,,forward_24m_no_duration
17-101416,NAME:chd vendee,NAME_FALLBACK,2017-07-13,2017-07-13,2018-01-13,2026-07-13,85,85150,DIGITAL_ICT,True,6.0,True,0,107.98291721419186,,,forward_24m_no_duration
17-102214,NAME:assoc office tourisme intercommunal pa,NAME_FALLBACK,2017-07-17,2017-07-17,2018-01-17,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,107.8515111695138,,,forward_24m_no_duration
17-108459,NAME:gpm de nantes - st nazaire,NAME_FALLBACK,2017-07-27,2017-07-27,2018-01-27,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,107.52299605781866,,,forward_24m_no_duration
17-114694,NAME:hop intercommunal du baugeois et val,NAME_FALLBACK,2017-08-11,2017-12-31,2020-12-31,2026-07-13,32,32412,DIGITAL_ICT,True,36.0,True,0,107.03022339027595,,,forward_24m_no_duration
17-109941,NAME:commune de saint-nazaire,NAME_FALLBACK,2017-08-02,2017-11-13,2021-11-13,2026-07-13,48,48730,DIGITAL_ICT,True,48.0,True,1,7.588699080157687,18-38591,0.2872223967857261,forward_24m_no_duration
17-117075,NAME:syndicat mixte pour le dvlpt numerique,NAME_FALLBACK,2017-08-17,2017-08-17,2021-08-17,2026-07-13,72,72700,DIGITAL_ICT,True,48.0,True,0,106.83311432325887,,,forward_24m_no_duration
17-117298,NAME:institut 4 10,NAME_FALLBACK,2017-08-18,2017-08-18,2018-08-18,2026-07-13,80,80530,DIGITAL_ICT,True,12.0,True,0,106.80026281208936,,,forward_24m_no_duration
17-120212,NAME:conseil regional des pays de la loire,NAME_FALLBACK,2017-08-25,2018-01-18,2022-01-18,2026-07-13,72,72000,DIGITAL_ICT,True,48.0,True,0,106.57030223390277,,,forward_24m_no_duration
17-115928,NAME:ademe,NAME_FALLBACK,2017-08-25,2018-05-27,2022-05-27,2026-07-13,72,72415,DIGITAL_ICT,True,48.0,True,1,6.241787122207621,18-28473,0.3081752257602098,forward_24m_no_duration
17-121705,NAME:commune de saint jean de monts,NAME_FALLBACK,2017-08-29,2017-08-29,2018-02-28,2026-07-13,,,DIGITAL_ICT,True,6.0,True,1,1.938239159001314,17-152907,0.5691537980651047,forward_24m_no_duration
17-103068,NAME:communaute d agglomeration la rochelle,NAME_FALLBACK,2017-08-10,2017-08-10,2020-08-10,2026-07-13,32,32562,DIGITAL_ICT,True,36.0,True,0,107.06307490144546,,,forward_24m_no_duration
17-118982,NAME:ville de sable sur sarthe,NAME_FALLBACK,2017-08-23,2017-08-23,2018-02-23,2026-07-13,,,DIGITAL_ICT,True,6.0,True,1,3.515111695137976,17-172986,0.5162012038916397,forward_24m_no_duration
17-114542,NAME:commune de saint jean de monts,NAME_FALLBACK,2017-08-09,2017-08-09,2018-02-09,2026-07-13,,,DIGITAL_ICT,True,6.0,True,1,2.59526938239159,17-152907,0.5866666666666667,forward_24m_no_duration
17-119142,NAME:prefecture,NAME_FALLBACK,2017-08-23,2017-08-23,2021-08-23,2026-07-13,72,72314,DIGITAL_ICT,True,48.0,True,0,106.63600525624179,,,forward_24m_no_duration
17-120545,NAME:e-collectivites vendee,NAME_FALLBACK,2017-08-27,2018-01-04,2022-01-04,2026-07-13,72,72100,DIGITAL_ICT,True,48.0,True,0,106.50459921156373,,,forward_24m_no_duration
17-118765,NAME:conseil regional des pays de la loire,NAME_FALLBACK,2017-08-22,2018-01-11,2022-01-11,2026-07-13,48,48600,DIGITAL_ICT,True,48.0,True,0,106.6688567674113,,,forward_24m_no_duration
17-110921,NAME:ecole centrale de nantes,NAME_FALLBACK,2017-08-04,2018-01-06,2022-01-06,2026-07-13,48,48900,DIGITAL_ICT,True,48.0,True,1,8.935611038107753,18-61507,0.37295673278222485,forward_24m_no_duration
17-111330,NAME:nantes metropole,NAME_FALLBACK,2017-08-11,2018-01-31,2022-01-31,2026-07-13,72,72250,DIGITAL_ICT,True,48.0,True,1,4.336399474375821,17-129614,0.5694034712653431,forward_24m_no_duration
17-114118,NAME:conseil regional des pays de la loire,NAME_FALLBACK,2017-08-10,2018-02-01,2022-02-01,2026-07-13,48,48000,DIGITAL_ICT,True,48.0,True,1,1.938239159001314,17-140948,0.8138579655674787,forward_24m_no_duration
17-129931,NAME:cmar pays de la loire,NAME_FALLBACK,2017-09-17,2018-03-29,2022-03-29,2026-07-13,72,72260,DIGITAL_ICT,True,48.0,True,0,105.81471747700394,,,forward_24m_no_duration
17-136551,NAME:dir interdepartementale routes ouest,NAME_FALLBACK,2017-09-30,2018-01-31,2022-01-31,2026-07-13,72,72267,DIGITAL_ICT,True,48.0,True,1,8.771353482260183,18-87219,0.7283985405622284,forward_24m_no_duration
17-124242,NAME:sdis de la sarthe,NAME_FALLBACK,2017-09-04,2017-11-03,2021-11-03,2026-07-13,35,35111,DIGITAL_ICT,True,48.0,True,0,106.24178712220763,,,forward_24m_no_duration
17-127212,NAME:epcc chemins du patrimoine,NAME_FALLBACK,2017-09-08,2017-09-08,2018-03-08,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,106.11038107752957,,,forward_24m_no_duration
17-132788,NAME:sdis de la mayenne,NAME_FALLBACK,2017-09-20,2017-09-20,2019-09-20,2026-07-13,30,30192,DIGITAL_ICT,True,24.0,True,1,2.890932982917214,17-176560,0.3309076845027296,forward_24m_no_duration
17-123450,NAME:conseil departemental loire-atlantique,NAME_FALLBACK,2017-09-03,2017-09-03,2021-09-03,2026-07-13,48,48822,DIGITAL_ICT,True,48.0,True,1,10.249671484888305,18-96470,0.3123517789753229,forward_24m_no_duration
17-133233,NAME:ca pornic agglo pays de retz,NAME_FALLBACK,2017-09-21,2017-09-21,2018-03-21,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,105.6833114323259,,,forward_24m_no_duration
17-125205,NAME:conseil general de la vendee,NAME_FALLBACK,2017-09-05,2018-02-14,2022-02-14,2026-07-13,72,72212,DIGITAL_ICT,True,48.0,True,0,106.20893561103811,,,forward_24m_no_duration
17-124586,SIRET:19490970100303,RAW_SIRET,2017-09-07,2017-12-21,2021-12-21,2026-07-13,72,72267,DIGITAL_ICT,True,48.0,True,0,106.14323258869908,,,forward_24m_no_duration
17-130729,NAME:gcs esante pays de la loire,NAME_FALLBACK,2017-09-17,2017-09-17,2021-09-17,2026-07-13,48,48814,DIGITAL_ICT,True,48.0,True,0,105.81471747700394,,,forward_24m_no_duration
17-132446,NAME:greta loire atlantique,NAME_FALLBACK,2017-09-20,2017-09-20,2019-09-20,2026-07-13,30,30000,DIGITAL_ICT,True,24.0,True,0,105.7161629434954,,,forward_24m_no_duration
17-133179,NAME:syndicat vignoble grand lieu,NAME_FALLBACK,2017-09-21,2017-09-21,2018-03-21,2026-07-13,65,65130,DIGITAL_ICT,True,6.0,True,0,105.6833114323259,,,forward_24m_no_duration
17-134575,NAME:ministere des affaires etrangeres,NAME_FALLBACK,2017-09-27,2018-01-25,2022-01-25,2026-07-13,72,72315,DIGITAL_ICT,True,48.0,True,0,105.4862023653088,,,forward_24m_no_duration
17-128615,NAME:inserm,NAME_FALLBACK,2017-09-14,2017-09-14,2021-09-14,2026-07-13,72,72500,DIGITAL_ICT,True,48.0,True,1,2.9894875164257555,17-174282,0.34744386945678857,forward_24m_no_duration
17-133782,NAME:ville de pornichet,NAME_FALLBACK,2017-09-22,2017-09-22,2021-09-22,2026-07-13,72,72500,DIGITAL_ICT,True,48.0,True,0,105.65045992115637,,,forward_24m_no_duration
17-135428,NAME:conseil departemental de la mayenne,NAME_FALLBACK,2017-09-28,2017-09-28,2021-09-28,2026-07-13,72,72211,DIGITAL_ICT,True,48.0,True,1,6.011826544021025,18-43533,0.25776177500889674,forward_24m_no_duration
17-123168,NAME:conseil departemental loire-atlantique,NAME_FALLBACK,2017-09-01,2017-09-01,2018-03-01,2026-07-13,,,DIGITAL_ICT,True,6.0,True,1,16.78712220762155,19-13728,0.30871657181325396,forward_24m_no_duration
17-131042,NAME:departement de la vendee,NAME_FALLBACK,2017-09-17,2018-01-22,2019-02-22,2026-07-13,92,92512,DIGITAL_ICT,True,13.0,True,0,105.81471747700394,,,forward_24m_no_duration
17-134974,NAME:ville de bouchemaine,NAME_FALLBACK,2017-09-25,2017-09-25,2018-03-25,2026-07-13,,,DIGITAL_ICT,True,6.0,True,1,8.377135348226018,18-73911,0.3670098522530073,forward_24m_no_duration
17-135696,NAME:departement de la vendee,NAME_FALLBACK,2017-09-26,2017-12-14,2021-12-14,2026-07-13,72,72315,DIGITAL_ICT,True,48.0,True,0,105.51905387647832,,,forward_24m_no_duration
17-130980,NAME:e-collectivites vendee,NAME_FALLBACK,2017-09-17,2017-09-17,2021-09-17,2026-07-13,72,72410,DIGITAL_ICT,True,48.0,True,0,105.81471747700394,,,forward_24m_no_duration
17-117419,NAME:dsna,NAME_FALLBACK,2017-09-17,2018-11-22,2021-11-22,2026-07-13,32,32230,DIGITAL_ICT,True,36.0,True,0,105.81471747700394,,,forward_24m_no_duration
17-130002,NAME:conseil departemental de la mayenne,NAME_FALLBACK,2017-09-17,2017-12-09,2019-12-09,2026-07-13,30,30230,DIGITAL_ICT,True,24.0,True,0,105.81471747700394,,,forward_24m_no_duration
17-140760,SIRET:13001535700010,RAW_SIRET,2017-10-08,2017-10-08,2021-10-08,2026-07-13,35,35113,DIGITAL_ICT,True,48.0,True,0,105.12483574244415,,,forward_24m_no_duration
17-140948,NAME:conseil regional des pays de la loire,NAME_FALLBACK,2017-10-08,2018-02-01,2022-02-01,2026-07-13,48,48000,DIGITAL_ICT,True,48.0,True,1,8.508541392904073,18-87166,0.5076212036132675,forward_24m_no_duration
17-142028,NAME:universite de nantes,NAME_FALLBACK,2017-10-11,2017-11-22,2021-11-22,2026-07-13,72,72224,DIGITAL_ICT,True,48.0,True,1,3.9750328515111693,18-18602,0.8857974859772033,forward_24m_no_duration
17-140377,NAME:conseil regional des pays de la loire,NAME_FALLBACK,2017-10-05,2018-01-11,2022-01-11,2026-07-13,72,72250,DIGITAL_ICT,True,48.0,True,0,105.2233902759527,,,forward_24m_no_duration
17-150835,NAME:gie des epl de vendee,NAME_FALLBACK,2017-10-25,2017-10-25,2021-10-25,2026-07-13,48,48920,DIGITAL_ICT,True,48.0,True,1,3.712220762155059,18-21831,0.2486751799285764,forward_24m_no_duration
17-147130,NAME:centre hospitalier paul chapron,NAME_FALLBACK,2017-10-18,2017-10-18,2020-10-18,2026-07-13,32,32344,DIGITAL_ICT,True,36.0,True,0,104.79632063074901,,,forward_24m_no_duration
17-144060,NAME:angers loire metropole,NAME_FALLBACK,2017-10-12,2017-10-12,2018-04-12,2026-07-13,,,DIGITAL_ICT,True,6.0,True,1,13.469119579500656,18-117389,0.26102185387552146,forward_24m_no_duration
17-142035,NAME:conseil regional des pays de la loire,NAME_FALLBACK,2017-10-11,2018-02-01,2022-02-01,2026-07-13,48,48000,DIGITAL_ICT,True,48.0,True,1,17.936925098554532,19-56150,0.48343994897809495,forward_24m_no_duration
17-152907,NAME:commune de saint jean de monts,NAME_FALLBACK,2017-10-27,2017-12-22,2018-06-22,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,104.5006570302234,,,forward_24m_no_duration
17-130666,NAME:ademe,NAME_FALLBACK,2017-10-01,2017-10-01,2021-10-01,2026-07-13,72,72611,DIGITAL_ICT,True,48.0,True,0,105.35479632063075,,,forward_24m_no_duration
17-148560,SIRET:24850034000141,RAW_SIRET,2017-10-22,2017-10-22,2021-10-22,2026-07-13,72,72500,DIGITAL_ICT,True,48.0,True,0,104.66491458607096,,,forward_24m_no_duration
17-79188,NAME:mairie de saint-gilles-croix-de-vie,NAME_FALLBACK,2017-10-03,2017-10-03,2019-10-03,2026-07-13,30,30197,DIGITAL_ICT,True,24.0,True,0,105.28909329829172,,,forward_24m_no_duration
17-151427,NAME:communaute communes pays de redon,NAME_FALLBACK,2017-10-25,2017-10-25,2021-10-25,2026-07-13,48,48000,DIGITAL_ICT,True,48.0,True,1,12.582128777923783,18-157794,0.5082851270266726,forward_24m_no_duration
17-149350,NAME:ccir pays de la loire,NAME_FALLBACK,2017-10-22,2018-01-28,2019-01-28,2026-07-13,38,38652,DIGITAL_ICT,True,12.0,True,0,104.66491458607096,,,forward_24m_no_duration
17-146735,NAME:gpm de nantes - st nazaire,NAME_FALLBACK,2017-10-17,2017-10-17,2018-04-17,2026-07-13,31,31625,DIGITAL_ICT,True,6.0,True,0,104.82917214191853,,,forward_24m_no_duration
17-139193,NAME:angers loire metropole,NAME_FALLBACK,2017-10-04,2017-10-04,2021-10-04,2026-07-13,72,72267,DIGITAL_ICT,True,48.0,True,1,17.04993429697766,19-35566,0.5073444911644862,forward_24m_no_duration
17-142620,NAME:si energies de maine et loire,NAME_FALLBACK,2017-10-10,2017-10-10,2018-10-10,2026-07-13,38,38221,DIGITAL_ICT,True,12.0,True,0,105.05913272010513,,,forward_24m_no_duration
17-138140,NAME:commune de la baule,NAME_FALLBACK,2017-10-04,2018-01-13,2021-01-13,2026-07-13,32,32424,DIGITAL_ICT,True,36.0,True,0,105.2562417871222,,,forward_24m_no_duration
17-144102,NAME:universite de nantes,NAME_FALLBACK,2017-10-14,2018-02-14,2022-02-14,2026-07-13,35,35113,DIGITAL_ICT,True,48.0,True,1,3.3180026281208934,18-10415,0.48000000000000004,forward_24m_no_duration
17-143241,NAME:nantes metropole,NAME_FALLBACK,2017-10-15,2018-10-04,2022-10-04,2026-07-13,48,48000,DIGITAL_ICT,True,48.0,True,1,2.0367936925098555,17-173663,0.6875552354755585,forward_24m_no_duration
17-152746,NAME:ctre hosp universitaire angers,NAME_FALLBACK,2017-10-29,2017-12-15,2021-12-15,2026-07-13,48,48000,DIGITAL_ICT,True,48.0,True,0,104.43495400788436,,,forward_24m_no_duration
17-143219,NAME:nantes metropole,NAME_FALLBACK,2017-10-11,2017-10-11,2018-04-11,2026-07-13,,,DIGITAL_ICT,True,6.0,True,1,2.3324572930354797,17-129614,0.3078419956528914,forward_24m_no_duration
17-144482,NAME:centre hospitalier f robert,NAME_FALLBACK,2017-10-13,2017-10-13,2018-04-13,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,104.96057818659658,,,forward_24m_no_duration
17-161600,NAME:rectorat de l academie de nantes,NAME_FALLBACK,2017-11-15,2017-11-15,2018-05-15,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,103.87647831800263,,,forward_24m_no_duration
17-157486,NAME:departement de la sarthe,NAME_FALLBACK,2017-11-08,2017-11-08,2021-11-08,2026-07-13,72,72268,DIGITAL_ICT,True,48.0,True,1,10.151116951379763,18-127908,0.3385722462980271,forward_24m_no_duration
17-162866,NAME:s m a e p de la region mancelle,NAME_FALLBACK,2017-11-17,2017-11-17,2021-11-17,2026-07-13,48,48444,DIGITAL_ICT,True,48.0,True,0,103.8107752956636,,,forward_24m_no_duration
17-161606,NAME:carene,NAME_FALLBACK,2017-11-23,2017-11-23,2020-11-23,2026-07-13,32,32321,DIGITAL_ICT,True,36.0,True,0,103.61366622864652,,,forward_24m_no_duration
17-166932,NAME:casier judiciaire national,NAME_FALLBACK,2017-11-27,2017-11-27,2020-11-27,2026-07-13,32,32543,DIGITAL_ICT,True,36.0,True,0,103.48226018396846,,,forward_24m_no_duration
17-167643,NAME:conseil departemental loire-atlantique,NAME_FALLBACK,2017-11-28,2017-11-28,2020-11-28,2026-07-13,32,32321,DIGITAL_ICT,True,36.0,True,1,17.805519053876477,19-81470,0.3218096089382314,forward_24m_no_duration
17-168958,NAME:departement de la vendee,NAME_FALLBACK,2017-11-30,2018-04-27,2022-04-27,2026-07-13,72,72212,DIGITAL_ICT,True,48.0,True,1,14.98028909329829,19-33087,0.288724898997451,forward_24m_no_duration
17-155889,NAME:institut mines-telecom atlantique,NAME_FALLBACK,2017-11-05,2018-02-28,2021-02-28,2026-07-13,32,32232,DIGITAL_ICT,True,36.0,True,0,104.20499342969777,,,forward_24m_no_duration
17-159373,NAME:chu de nantes,NAME_FALLBACK,2017-11-12,2018-04-14,2022-04-14,2026-07-13,72,72267,DIGITAL_ICT,True,48.0,True,1,9.494086727989487,18-120601,0.6241772380885862,forward_24m_no_duration
