source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m0_composite_score,cpv_missing,cpv_generic_flag,score_forward_no_duration,candidate_rank,n_candidates_for_source,top1_top2_margin,variant,threshold_used
18-79743,19-160018,2018-06-11,2019-10-21,NAME:lycee polyvalent leonard de vinci,NAME_FALLBACK,16.327201051248355,,,,0.9999999999999997,1.0,0.6,0.9466666666666665,False,False,0.9466666666666665,1,1,0.9466666666666665,forward_24m_no_duration,0.24520429054294895
18-79940,18-126992,2018-06-13,2018-09-13,NAME:esat foyers,NAME_FALLBACK,3.0223390275952693,,,,0.8618949939499722,1.0,0.6,0.8822176638433206,False,False,0.8822176638433206,1,2,0.6105531758954464,forward_24m_no_duration,0.24520429054294895
18-80158,20-35774,2018-06-13,2020-03-11,NAME:conseil departemental loire-atlantique,NAME_FALLBACK,20.92641261498029,,,,0.14224786259128408,1.0,0.6,0.5463823358759325,False,False,0.5463823358759325,1,14,0.2901422190525503,forward_24m_no_duration,0.24520429054294895
18-8070,19-35566,2018-01-18,2019-03-07,NAME:angers loire metropole,NAME_FALLBACK,13.567674113009199,,,,0.20153172915185136,0.2,0.6,0.25404814027086403,False,False,0.25404814027086403,1,17,0.0890933658491809,forward_24m_no_duration,0.24520429054294895
18-87166,19-56150,2018-06-24,2019-04-10,NAME:conseil regional des pays de la loire,NAME_FALLBACK,9.526938239159001,,,,0.0,1.0,0.6,0.48000000000000004,False,True,0.48000000000000004,1,13,0.3450142557602463,forward_24m_no_duration,0.24520429054294895
18-8879,18-26430,2018-01-21,2018-02-25,NAME:gie sesam vitale,NAME_FALLBACK,1.149802890932983,,,,0.19763148887868998,0.2,0.6,0.2522280281433887,False,True,0.2522280281433887,1,6,0.09222802814338865,forward_24m_no_duration,0.24520429054294895
18-89409,20-75569,2018-06-29,2020-06-14,NAME:crous de nantes,NAME_FALLBACK,23.52168199737188,,,,0.36232842306373053,0.0,0.6,0.24908659742974096,False,True,0.24908659742974096,1,1,0.24908659742974096,forward_24m_no_duration,0.24520429054294895
18-90097,19-151382,2018-06-30,2019-10-09,NAME:nantes metropole,NAME_FALLBACK,15.308804204993429,,,,0.2253974037183803,1.0,0.6,0.5851854550685776,False,True,0.5851854550685776,1,30,0.0039992008119760225,forward_24m_no_duration,0.24520429054294895
18-90441,18-122376,2018-06-29,2018-08-31,NAME:nantes metropole,NAME_FALLBACK,2.0696452036793693,,,,0.9999999999999998,0.1,0.6,0.5866666666666667,True,False,0.5866666666666667,1,30,0.36136171570426157,forward_24m_no_duration,0.24520429054294895
18-9145,18-14065,2018-01-21,2018-02-01,SIRET:22850001300658,RAW_SIRET,0.36136662286465177,,,,0.017956261439918252,0.6,1.0,0.38171292200529516,False,False,0.38171292200529516,1,9,0.1606889913415302,forward_24m_no_duration,0.24520429054294895
18-92681,19-5147,2018-07-03,2019-01-11,NAME:ville de bouguenais,NAME_FALLBACK,6.307490144546649,,,,0.834879834689797,1.0,0.6,0.8696105895219053,False,False,0.8696105895219053,1,3,0.6819794474719192,forward_24m_no_duration,0.24520429054294895
