source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key_m0_source,buyer_key_m0_candidate,buyer_key_type_source,buyer_key_type_candidate,buyer_match_mechanism,source_buyer_identity_source,candidate_buyer_identity_source,source_buyer_siret,candidate_buyer_siret,source_buyer_siren_m1,candidate_buyer_siren_m1,cross_establishment_same_siren,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m1_composite_score,m0_balanced_threshold_used,cpv_missing,cpv_generic_flag,candidate_rank,n_candidates_for_source,top1_top2_margin,variant,threshold_used
15-141361,19-177480,2015-09-16,2019-11-28,SIRET:23440003400026,SIRET:23440003400026,RAW_SIRET,RAW_SIRET,EXACT_SIRET_RECONCILIATION,DIRECT_BOAMP_SIRET,DIRECT_BOAMP_SIRET,23440003400026,23440003400026,234400034,234400034,False,50.39421813403417,2020-02-19,2.726675427069645,0.5455540954883924,0.4478662388981782,0.0,1.0,0.3931417074864605,0.3230216936565233,False,False,1,14,0.0036739019674065787,balanced,0.3230216936565233
15-144405,19-157248,2015-09-22,2019-10-16,NAME:regie dept passages d eau de vendee,NAME:regie dept passages d eau de vendee,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,48.78449408672799,2019-09-22,0.7884362680683311,0.8685939553219448,0.00621060751838898,0.2,0.6,0.3393222014619223,0.3230216936565233,False,False,1,1,0.3393222014619223,balanced,0.3230216936565233
15-146824,16-9312,2015-09-28,2016-03-15,NAME:ville de cholet,NAME:ville de cholet,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,UNIQUE_NAME_DEPARTMENT_ALIAS,NAME_FALLBACK,,,214900995,,False,5.551905387647832,2016-03-28,0.42706964520367935,0.9288217257993868,0.0936223764563367,0.1,0.6,0.3549732632095645,0.3230216936565233,True,False,1,1,0.3549732632095645,balanced,0.3230216936565233
15-147732,16-78789,2015-09-28,2016-05-30,NAME:ecole des mines de nantes,NAME:ecole des mines de nantes,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,8.04862023653088,2016-03-28,2.0696452036793693,0.6550591327201052,0.3940989187085687,0.1,0.6,0.39169940472802534,0.3230216936565233,True,False,1,3,0.08837615040006802,balanced,0.3230216936565233
15-154566,20-4011,2015-10-12,2020-01-12,NAME:cnieg,NAME:cnieg,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,51.01839684625493,2020-02-02,0.6898817345597897,0.8850197109067017,0.26869986291691683,0.2,0.6,0.4352998797475963,0.3230216936565233,False,False,1,3,0.04794696360817252,balanced,0.3230216936565233
15-155719,18-158087,2015-10-13,2018-11-15,NAME:sm megalis,NAME:sm megalis,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,37.089356110381075,2018-10-13,1.0840998685939554,0.8193166885676741,0.660782947131069,1.0,0.6,0.7961032036377926,0.3230216936565233,False,False,1,3,0.46844452720876506,balanced,0.3230216936565233
15-159244,19-151382,2015-10-23,2019-10-09,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,47.53613666228647,2019-10-23,0.45992115637319314,0.9233464739378011,0.22923866083640307,1.0,0.6,0.6710701497771914,0.3230216936565233,False,True,1,22,0.1543004905630163,balanced,0.3230216936565233
15-160513,16-61061,2015-10-20,2016-04-29,NAME:departement de la sarthe,NAME:departement de la sarthe,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,227200029,227200029,False,6.307490144546649,2016-04-20,0.2956636005256242,0.9507227332457293,0.05604580545588896,0.1,0.75,0.3622967152209935,0.3230216936565233,True,False,1,11,0.05376807954908919,balanced,0.3230216936565233
15-160539,16-57014,2015-10-28,2016-04-20,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,5.7490144546649145,2016-04-28,0.2628120893561104,0.9561979851073149,0.15709253634284487,0.1,0.6,0.3840318839968244,0.3230216936565233,True,False,1,23,0.011970166188417897,balanced,0.3230216936565233
15-162447,16-49246,2015-10-23,2016-04-12,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,5.650459921156373,2016-04-23,0.36136662286465177,0.939772229522558,0.23430704681594772,0.1,0.6,0.4069505237662212,0.3230216936565233,True,False,1,22,0.026426453732799227,balanced,0.3230216936565233
15-162906,16-68875,2015-10-23,2016-05-12,NAME:centre hospitalier de cholet,NAME:centre hospitalier de cholet,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,6.636005256241787,2016-04-23,0.6241787122207622,0.8959702146298729,0.1456907142819418,0.1,0.6,0.36498430365614787,0.3230216936565233,True,False,1,2,0.07500317012099794,balanced,0.3230216936565233
15-164088,19-185562,2015-10-28,2019-12-12,NAME:commune de saint-herblain,NAME:commune de saint-herblain,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,214401622,214401622,False,49.47437582128778,2019-10-28,1.4783180026281209,0.7536136662286466,0.24586100993274876,0.0,0.75,0.34945477003362374,0.3230216936565233,False,False,1,2,0.13196320454733168,balanced,0.3230216936565233
15-164187,19-169855,2015-10-28,2019-11-12,NAME:gie sesam vitale,NAME:gie sesam vitale,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,391722881,391722881,False,48.48883048620237,2019-10-28,0.492772667542707,0.9178712220762155,0.3561558634766727,0.2,0.75,0.48912235773588936,0.3230216936565233,False,False,1,5,0.07952485498331602,balanced,0.3230216936565233
15-165050,19-136955,2015-10-29,2019-09-10,NAME:angers loire metropole,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,244900015,244900015,False,46.386333771353485,2019-10-29,1.609724047306176,0.731712658782304,0.8644788775438547,1.0,0.75,0.8604957718359252,0.3230216936565233,False,False,1,7,0.4883112637770685,balanced,0.3230216936565233
15-169809,19-165120,2015-11-09,2019-10-30,NAME:chu de nantes,NAME:chu de nantes,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,264400136,264400136,False,47.66754270696452,2019-11-09,0.328515111695138,0.9452474813841437,0.04325741068680569,0.0,0.75,0.3264519640864179,0.3230216936565233,False,False,1,5,0.11350861867462628,balanced,0.3230216936565233
15-173090,20-31844,2015-11-16,2020-03-04,NAME:universite de nantes,NAME:universite de nantes,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,UNIQUE_NAME_DEPARTMENT_ALIAS,NAME_FALLBACK,,,130029747,,False,51.57687253613666,2020-01-28,1.1826544021024967,0.8028909329829172,0.0,0.4,0.6,0.3807227332457293,0.3230216936565233,False,False,1,3,0.06414761455857038,balanced,0.3230216936565233
15-174358,20-31844,2015-11-17,2020-03-04,NAME:universite de nantes,NAME:universite de nantes,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,UNIQUE_NAME_DEPARTMENT_ALIAS,NAME_FALLBACK,,,130029747,,False,51.54402102496715,2020-01-28,1.1826544021024967,0.8028909329829172,0.0,0.4,0.6,0.3807227332457293,0.3230216936565233,False,False,1,3,0.07236362279944814,balanced,0.3230216936565233
15-174987,19-136955,2015-11-18,2019-09-10,NAME:angers loire metropole,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,244900015,244900015,False,45.729303547963205,2019-11-18,2.266754270696452,0.6222076215505914,0.8404844620896664,1.0,0.75,0.824721467119031,0.3230216936565233,False,False,1,8,0.4525611799316917,balanced,0.3230216936565233
15-175210,20-32203,2015-11-19,2020-03-06,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,51.54402102496715,2020-03-04,0.0657030223390276,0.9890494962768287,0.015659173358600124,0.2,0.6,0.37274308474471723,0.3230216936565233,False,False,1,24,0.002660839773878043,balanced,0.3230216936565233
