source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key_m0_source,buyer_key_m0_candidate,buyer_key_type_source,buyer_key_type_candidate,buyer_match_mechanism,source_buyer_identity_source_x,candidate_buyer_identity_source_x,source_buyer_siret,candidate_buyer_siret,source_buyer_siren_m1_x,candidate_buyer_siren_m1_x,cross_establishment_same_siren,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m1_composite_score,m0_balanced_threshold_used,cpv_missing,cpv_generic_flag,profile_evidence_status,profile_evidence_reason,source_profile_domains,candidate_profile_domains,shared_profile_domains,source_domain_specificity,candidate_domain_specificity,profile_conflict_flag,candidate_rank,n_candidates_for_source,top1_top2_margin,variant,threshold_used
15-100455,19-156899,2015-07-01,2019-10-18,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,51.57687253613666,2019-12-17,1.971090670170828,0.6714848883048621,0.1810838349402665,1.0,0.6,0.5912505643053088,0.3230216936565233,False,False,STRONG_SUPPORT,source and candidate names share a buyer-specific or highly concentrated domain,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,marchepublics.nantesmetropole.fr;marchesoublics.nantesmetropole.fr;marchespublics.nantesmetropole;marchespublics.nantesmetropole.fr;nantesmetropole.fr,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,BUYER_SPECIFIC;HIGHLY_CONCENTRATED;SHARED_INSTITUTIONAL,False,1,22,0.23567176494728936,profile_audited_balanced,0.3230216936565233
15-102510,20-93634,2015-07-03,2020-07-22,SIRET:22720002900014,NAME:departement de la sarthe,RAW_SIRET,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,DIRECT_BOAMP_SIRET,UNIQUE_NAME_DEPARTMENT_ALIAS,22720002900014,,227200029,227200029,False,60.64388961892247,2020-03-30,3.7450722733245727,0.3758212877792378,0.4332644454993706,0.4,0.75,0.4405978778695892,0.3230216936565233,False,False,WEAK_SUPPORT,source and candidate names share a domain with limited specificity,sarthe-marchespublics.fr,sarthe-marchespublics.fr,sarthe-marchespublics.fr,AMBIGUOUS,AMBIGUOUS,False,1,7,0.01467787350112243,profile_audited_balanced,0.3230216936565233
15-105085,19-106429,2015-07-07,2019-07-11,NAME:ccir pays de la loire,NAME:ccir pays de la loire,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,48.12746386333772,2019-07-07,0.1314060446780552,0.9780989925536576,0.0618614338137221,0.2,0.6,0.3861762499732171,0.3230216936565233,False,True,NEUTRAL_SHARED_PLATFORM,source and candidate names share only broad shared-platform evidence,marches-publics.gouv.fr,marches-publics.gouv.fr,marches-publics.gouv.fr,GENERIC_PLATFORM,GENERIC_PLATFORM,False,1,1,0.3861762499732171,profile_audited_balanced,0.3230216936565233
15-111004,18-94561,2015-07-17,2018-07-08,SIRET:19490970100303,NAME:universite d angers,RAW_SIRET,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,DIRECT_BOAMP_SIRET,UNIQUE_NAME_DEPARTMENT_ALIAS,19490970100303,,194909701,194909701,False,35.7095926412615,2018-01-08,5.946123521681997,0.0089794130530004,0.9487991419134764,1.0,0.75,0.7093245529329668,0.3230216936565233,False,False,NEUTRAL_SHARED_PLATFORM,source and candidate names share only broad shared-platform evidence,marches-publics.gouv.fr,marches-publics.gouv.fr,marches-publics.gouv.fr,GENERIC_PLATFORM,GENERIC_PLATFORM,False,1,7,0.4071465803427172,profile_audited_balanced,0.3230216936565233
15-111481,19-59985,2015-07-20,2019-04-17,NAME:chu de nantes,NAME:chu de nantes,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,264400136,264400136,False,44.90801576872536,2019-07-20,3.088042049934297,0.4853263250109505,0.2408766037662249,1.0,0.75,0.5806383925709164,0.3230216936565233,False,False,WEAK_SUPPORT,source and candidate names share a domain with limited specificity,achats-hopitaux.com;marches-publics.fr;marches-publics.gouv.fr,achats-hopitaux.com;marches-publics.fr;marches-publics.gouv.fr,achats-hopitaux.com;marches-publics.fr;marches-publics.gouv.fr,AMBIGUOUS;GENERIC_PLATFORM,AMBIGUOUS;GENERIC_PLATFORM,False,1,3,0.25091993370540433,profile_audited_balanced,0.3230216936565233
15-112713,17-108459,2015-07-22,2017-07-27,NAME:gpm de nantes - st nazaire,NAME:gpm de nantes - st nazaire,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,775604853,775604853,False,24.178712220762154,2017-07-22,0.164257555847569,0.9726237406920718,0.012642194804825,0.1,0.75,0.3525807033547067,0.3230216936565233,True,False,NEUTRAL_SHARED_PLATFORM,source and candidate names share only broad shared-platform evidence,achatpublic.com;meoss.achatpublic.com,achatpublic.com;meoss.achatpublic.com,achatpublic.com;meoss.achatpublic.com,GENERIC_PLATFORM,GENERIC_PLATFORM,False,1,8,0.01318689104334192,profile_audited_balanced,0.3230216936565233
15-113716,16-67782,2015-07-22,2016-05-11,NAME:insee,NAME:insee,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,9.658344283837057,2016-05-10,0.0328515111695138,0.9945247481384144,0.0223204871966237,0.1,0.6,0.3464433575534219,0.3230216936565233,True,False,NEUTRAL_SHARED_PLATFORM,source and candidate names share only broad shared-platform evidence,marches-publics.gouv.fr,marches-publics.gouv.fr,marches-publics.gouv.fr,GENERIC_PLATFORM,GENERIC_PLATFORM,False,1,2,0.17480735229718022,profile_audited_balanced,0.3230216936565233
15-115319,18-28408,2015-07-27,2018-02-28,NAME:conseil regional des pays de la loire,NAME:conseil regional des pays de la loire,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,234400034,234400034,False,31.110381077529567,2018-02-19,0.2956636005256242,0.9507227332457292,0.0043862980495559,0.1,0.75,0.3442158876287769,0.3230216936565233,True,False,STRONG_SUPPORT,source and candidate names share a buyer-specific or highly concentrated domain,aof-crpdll-prod.local-trust.com;boamp.fr;marchepublics.paysdelaloire.fr;marches-formation.paysdelaloire.fr;marchespublics.paysdelaloire.fr;paysdelaloire.fr;wwww.marchespublics.paysdelaloire.fr,aof-crpdll-prod.local-trust.com;boamp.fr;marchepublics.paysdelaloire.fr;marches-formation.paysdelaloire.fr;marchespublics.paysdelaloire.fr;paysdelaloire.fr;wwww.marchespublics.paysdelaloire.fr,aof-crpdll-prod.local-trust.com;boamp.fr;marchepublics.paysdelaloire.fr;marches-formation.paysdelaloire.fr;marchespublics.paysdelaloire.fr;paysdelaloire.fr;wwww.marchespublics.paysdelaloire.fr,BUYER_SPECIFIC;GENERIC_PLATFORM,BUYER_SPECIFIC;GENERIC_PLATFORM,False,1,21,0.02742876542115541,profile_audited_balanced,0.3230216936565233
15-115988,18-25585,2015-07-27,2018-02-22,NAME:angers loire metropole,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,244900015,244900015,False,30.913272010512483,2018-07-27,5.091984231274639,0.1513359614542269,0.0125245955698231,0.8,0.75,0.3572175988129948,0.3230216936565233,False,False,STRONG_SUPPORT,source and candidate names share a buyer-specific or highly concentrated domain,alm.marches-securises.fr;alm.marhces-securises.fr;metropole-angers.marcoweb.fr,alm.marches-securises.fr;alm.marhces-securises.fr;metropole-angers.marcoweb.fr,alm.marches-securises.fr;alm.marhces-securises.fr;metropole-angers.marcoweb.fr,BUYER_SPECIFIC;GENERIC_PLATFORM;SHARED_INSTITUTIONAL,BUYER_SPECIFIC;GENERIC_PLATFORM;SHARED_INSTITUTIONAL,False,1,9,0.03745802563361633,profile_audited_balanced,0.3230216936565233
15-115991,20-8882,2015-07-27,2020-01-20,NAME:ville d angers,NAME:ville d angers,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,53.8107752956636,2020-03-31,2.33245729303548,0.61125711782742,0.4259024485474593,1.0,0.6,0.6618801364484657,0.3230216936565233,False,False,NEUTRAL_SHARED_PLATFORM,source and candidate names share only broad shared-platform evidence,alm.marches-securises.fr;metropole-angers.marcoweb.fr,alm.marches-securises.fr;metropole-angers.marcoweb.fr,alm.marches-securises.fr;metropole-angers.marcoweb.fr,GENERIC_PLATFORM;SHARED_INSTITUTIONAL,GENERIC_PLATFORM;SHARED_INSTITUTIONAL,False,1,1,0.6618801364484657,profile_audited_balanced,0.3230216936565233
